Pavadinimas,Autorius,Publikavimo duomenys
Kūryba,"Vyšniauskas, Arvydas","Kaunas : Ridsales, 2023"
Peržengta riba,"Webb, Debra","Vilnius : Briedis, 2023"
Smėlio laiptais,"Širvinskienė, Renata","Vilnius : Gelmės, 2023"
Žmogžudystė Rytų eksprese,"Christie, Agatha (1890–1976)","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Sugrįžimas į minčių keliones,"Mačiukas, Algis","Panevėžys : Reklamos forma, 2023"
Koncertas turėklui,"Ogenskienė, Ina","Vilnius : Labdaros ir paramos fondas „Švieskime vaikus“, 2023"
Fuga fis-moll (VL 82),"Čiurlionis, Mikalojus Konstantinas (1875–1911)","Vilnius : Lietuvos muzikos informacijos centras, [2023]"
Kanonas c-moll (VL 216a),"Čiurlionis, Mikalojus Konstantinas (1875–1911)","Vilnius : Lietuvos muzikos informacijos centras, [2023]"
Pasaulio pažinimas,"Makarskaitė-Petkevičienė, Rita","Vilnius : Šviesa, [2023]"
Kaip užauginti žmogų,"Kurienė, Aušra","Vilnius : Alma littera, 2023"
Karalienė,"Dennison, Matthew","Vilnius : Alma littera, 2023"
Ar lengva įsimylėti rašytoją?,"Faye, Jennifer","Vilnius : Svajonių knygos, 2023"
Ištekėti du kartus,"Faye, Jennifer","Vilnius : Svajonių knygos, 2023"
"Ana, Hana ir Johana","Fredriksson, Marianne (1927–2007)","Vilnius : Alma littera, 2023"
Ukrainos karo audrose,"Kumpis, Arūnas","Vilnius : Briedis, 2023"
Blogio metas,"Kapoor, Deepti","Vilnius : Alma littera, 2023"
Ekonomikos modulio komponentės „Mikroekonomika ir makroekonomika“ studijavimo vadovas,"Maksvytienė, Inga","Kaunas : Kauno kolegijos Reklamos ir medijų centras, 2023"
Sielos styga,"Bačinskienė, Danutė","Alytus : [Alytaus spaustuvė], 2023"
Antikristas,"Nietzsche, Friedrich Wilhelm (1844–1900)","Kaunas : [Lectio divina], [2023]"
